id;tytul;opis;data_publikacji;data_waznosci;start_od;czy_widelki;widelki_min;widelki_max;aktywne
1;whereas;repel upward without;2024-01-31;2024-01-30;2024-01-30;false;25613.29;28663.66;false
2;sheepishly;accord since;2024-01-31;2024-01-31;2024-01-30;false;28889.39;20850.21;false
3;gosh gadzooks plus;yuck whenever beyond;2024-01-30;2024-01-30;2024-01-30;true;12803.98;23446.27;true
4;vaguely ugh under;hence;2024-01-31;2024-01-31;2024-01-31;false;29840.19;21178.24;true
5;hence worn carbon;zowie meh a;2024-01-30;2024-01-31;2024-01-30;false;19542.3;3081.05;true
6;complete barrel;below fatally like;2024-01-31;2024-01-31;2024-01-31;true;14834.14;7671.87;false
7;liquid chop;arrogantly truthfully;2024-01-31;2024-01-30;2024-01-31;false;21800.7;31431.43;true
8;furnish;lavish sort for;2024-01-30;2024-01-30;2024-01-30;false;5460.63;5813.31;true
9;fragment;lest although immediate;2024-01-31;2024-01-31;2024-01-30;false;12925.49;20189.84;true
10;fumble;fooey psst suburban;2024-01-31;2024-01-31;2024-01-31;false;13702.49;24053.64;false
